+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|            sys_clock_pin |            sys_clock_pin |                                                                                              row_reg[3]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                              row_reg[1]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                      greenmedium_reg[0]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                        limelarge_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                       bluemedium_reg[0]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                           radius_reg[7]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                     maroonmedium_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                                read_reg/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                      maroonlarge_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                              row_reg[8]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                       bluemedium_reg[1]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                             row_reg[10]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                             row_reg[15]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                             row_reg[12]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                       aquamedium_reg[1]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                           radius_reg[3]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                        aqualarge_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                              row_reg[6]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                           radius_reg[6]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                        bluelarge_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                           radius_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                      greenmedium_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                           radius_reg[1]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                           radius_reg[4]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                        limesmall_reg[2]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                             row_reg[14]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                       limemedium_reg[0]/D|
|            sys_clock_pin |            sys_clock_pin |                                                                                        limelarge_reg[0]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
